learning_rate;weight_decay;epochs;optimizer;reduction;criterion;device;batch_size;clip_value;test_threshold;shuffle;cudnn_enabled;run_number;timestamp;train_results;val_results;test_results
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;52;2024-01-14 11:21:31;3,66;4,13;0,8
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;53;2024-01-14 11:21:31;3,65;4,13;0,81
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;54;2024-01-14 11:21:31;3,64;4,11;0,81
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;55;2024-01-14 11:21:31;3,64;4,08;0,8
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;56;2024-01-14 11:21:31;3,63;4,08;0,8
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;57;2024-01-14 11:21:31;3,63;4,09;0,81
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;58;2024-01-14 11:21:31;3,62;4,09;0,81
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;59;2024-01-14 11:21:31;3,61;4,08;0,81
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;60;2024-01-14 11:21:31;3,61;4,05;0,8
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;61;2024-01-14 11:21:31;3,6;4,09;0,81
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;62;2024-01-14 11:21:31;3,6;4,06;0,8
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;63;2024-01-14 11:21:31;3,59;4,05;0,8
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;64;2024-01-14 11:21:31;3,59;4,03;0,8
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;65;2024-01-14 11:21:31;3,58;4,04;0,81
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;66;2024-01-14 11:21:31;3,57;4,05;0,8
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;67;2024-01-14 11:21:31;3,57;4,1;0,8
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;68;2024-01-14 11:21:31;3,56;4,05;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;69;2024-01-14 11:21:31;3,56;4,05;0,8
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;70;2024-01-14 11:21:31;3,55;4,03;0,8
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;71;2024-01-14 11:21:31;3,55;4,04;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;72;2024-01-14 11:21:31;3,54;4,05;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;73;2024-01-14 11:21:31;3,54;4,01;0,8
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;74;2024-01-14 11:21:31;3,54;4,08;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;75;2024-01-14 11:21:31;3,53;4,06;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;76;2024-01-14 11:21:31;3,53;4,01;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;77;2024-01-14 11:21:31;3,52;4,04;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;78;2024-01-14 11:21:31;3,52;3,99;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;79;2024-01-14 11:21:31;3,51;4,01;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;80;2024-01-14 11:21:31;3,51;3,99;0,79
